company_name,official_website,E1,E1_reason,E2,E2_reason
Mylan Pharmaceuticals Pvt.,viatris.com,No,Subsidiary of a global pharmaceutical giant focusing on generics.,Yes,Operations are located in Hyderabad India.
Sapala Organics Pvt.,sapalaorganics.com,No,Operates as a custom synthesis CRO and CDMO without proprietary products.,Yes,Operations are located in Hyderabad India.
Eesavyasa TechnologiesPvt.,eesavyasa.com,Yes,Develops and manufactures proprietary engineering and technology products.,Yes,Operations are located in Hyderabad India.
ClearsynthLabsLtd.,clearsynth.com,Yes,Manufactures proprietary chemical reference standards and related catalog products.,Yes,Operations are located in Hyderabad India.
EugiaPharma Specialities Ltd.,eugiapharma.com,No,Subsidiary of a large pharmaceutical group focusing on generic formulations.,Yes,Operations are located in Hyderabad India.
Hetero Labs Ltd.,hetero.com,Yes,Generic pharma with massive independent in-house manufacturing and R&D capabilities.,Yes,HQ is located in Hyderabad India.
Nucon Aerospace Pvt.,nuconaerospace.com,Yes,Designs and manufactures proprietary aerospace and defense systems in-house.,Yes,Operations are located in Hyderabad India.
Sanzyme Biologics Pvt.,sanzymebiologics.com,Yes,Manufactures proprietary probiotics and biotechnology products in-house.,Yes,HQ is located in Hyderabad India.
Crenza Pharmaceuticals Pvt.,crenzapharma.com,Yes,Independent manufacturer of specialized pharmaceutical formulations and APIs.,Yes,Operations are located in Hyderabad India.
Ravi Hybrid Seeds Pvt.,raviseeds.com,Yes,Develops and produces proprietary agricultural hybrid seeds in-house.,Yes,Operations are located in Hyderabad India.
Innovare Labs Pvt.,innovarelabs.com,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,Operations are located in Hyderabad India.
Laxai Life Sciences Private Limited,laxai.com,No,Operates as a contract development and manufacturing organization lacking independent proprietary products.,Yes,Operations are located in Hyderabad India.
Jisnu Communications Pvt.,jisnu.com,Yes,Designs and manufactures proprietary aerospace and defense communication systems.,Yes,Operations are located in Hyderabad India.
LokeshMachines Ltd.,lokeshmachines.com,Yes,Manufactures proprietary CNC machines and precision auto components in-house.,Yes,HQ is located in Hyderabad India.
Jodas Expoim Pvt.,jodasexpoim.in,Yes,Independent pharmaceutical company with significant in-house manufacturing and formulation capabilities.,Yes,Operations are located in Hyderabad India.
Ecoled ILLuminations Pvt.,ecoled.in,Yes,Manufactures proprietary LED lighting and electronic products in-house.,Yes,Operations are located in Hyderabad India.
Tierra Agrotech Ltd.,tierraagrotech.com,Yes,Develops and produces proprietary agricultural seeds and biotechnology products.,Yes,HQ is located in Hyderabad India.
Tripura Bio-Tech Ltd.,tripurabiotech.com,Yes,Develops and manufactures proprietary bio-fertilizers and agricultural biotechnology products.,Yes,Operations are located in Secunderabad India.
Nucleome Informatics Pvt.,nucleomeinfo.com,No,Operates primarily as a genomics service provider and contract research organization.,Yes,Operations are located in Hyderabad India.
Avantari Technologies Pvt.,avantari.com,Yes,Develops proprietary augmented reality and technology products in-house.,Yes,Operations are located in Hyderabad India.
RenewableEnergy Systems Ltd.,resindia.com,Yes,Manufactures proprietary renewable energy and defense components in-house.,Yes,Operations are located in Hyderabad India.
GOCL Corporation Ltd.,goclcorp.com,Yes,Manufactures proprietary commercial explosives and energetic materials in-house.,Yes,HQ is located in Hyderabad India.
Aodh Lifesciences Pvt.,aodh.in,No,Operates primarily as a contract research and development organization without proprietary products.,Yes,Operations are located in Secunderabad India.
Oncosimis Biotech Pvt.,oncosimis.com,Yes,Develops proprietary biosimilars and biotechnology products in-house.,Yes,Operations are located in Hyderabad India.
Biofac Inputs Pvt.,biofac.in,Yes,Manufactures proprietary agricultural inputs and bio-fertilizers in-house.,Yes,Operations are located in Sangareddy India.
Srikar Biotech Pvt.,srikarbiotech.com,Yes,Develops and produces proprietary agricultural biotechnology products and seeds.,Yes,Operations are located in Telangana India.
SynergeneActive Ingredients Pvt.,synergeneapi.com,Yes,Independent manufacturer of active pharmaceutical ingredients in-house.,Yes,Operations are located in Hyderabad India.
Bycus Therapeutics Pvt.,bycustherapeutics.com,Yes,Develops proprietary biotherapeutics and biotechnology products in-house.,Yes,Operations are located in Hyderabad India.
Ushodaya Enterprises Pvt.,ramojifilmcity.com,No,Large diversified conglomerate lacking a singular independent manufacturing focus.,Yes,Operations are located in Hyderabad India.
Dhruva Space Pvt.,dhruvaspace.com,Yes,Designs and manufactures proprietary space technology and satellites in-house.,Yes,HQ is located in Hyderabad India.
SRC Laboratories Pvt.,srclabs.com,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,Operations are located in Sangareddy India.
ShilpaPharma LifesciencesLtd.,shilpapharma.com,Yes,Independent API manufacturer with clear in-house production capabilities.,Yes,HQ is located in Raichur Karnataka India.
Comprotech Engineering Pvt. Ltd.,comprotechengineering.com,No,Joint venture with a large conglomerate (Adani Aerospace).,Yes,Operations are located in Hyderabad India.
PeopleLink Unified Communications Pvt. Ltd.,peoplelinkvc.com,Yes,Develops proprietary unified communications and video conferencing software/hardware.,Yes,HQ is located in Hyderabad India.
Biognosys Technologies India Pvt. Ltd.,biognosys.in,No,Operates primarily as a service-only diagnostic lab and CRO.,Yes,Operations are located in Hyderabad India.
Godi India Pvt. Ltd.,godienergy.com,Yes,Develops and manufactures proprietary battery technologies and supercapacitors.,Yes,Operations are located in Hyderabad India.
HeteroBiopharma Limited.,heterobiopharma.com,No,Subsidiary of a large pharmaceutical conglomerate (Hetero Group).,Yes,Operations are located in Hyderabad India.
Simply Fresh Private Limited.,simplyfresh.co.in,Yes,Produces proprietary agricultural products using advanced in-house greenhouse farming.,Yes,Operations are located in Hyderabad India.
Genomix Agri Genetics Pvt. Ltd.,kaveriseeds.in,No,Subsidiary of a large agricultural group (Kaveri Seeds).,Yes,Operations are located in Secunderabad India.
Telluris Biotech India Pvt. Ltd.,tellurisbiotech.com,Yes,Develops proprietary biotechnology and life sciences products in-house.,Yes,Operations are located in Hyderabad India.
Lee Pharma Ltd.,leepharma.com,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,HQ is located in Hyderabad India.
Sapigen Biologix Pvt. Ltd.,sapigen.com,No,Subsidiary of a large pharmaceutical conglomerate (Bharat Biotech group).,Yes,Operations are located in Hyderabad India.
Provis Biolabs Pvt. Ltd.,provisbiolabs.com,Yes,Manufactures proprietary bioreagents and bio-APIs in-house.,Yes,Operations are located in Hyderabad India.
Tianish Laboratories Pvt. Ltd.,tianish.com,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,Operations are located in Hyderabad India.
Niruthi Climate & Ecosystem Pvt. Ltd.,niruthi.com,Yes,Develops proprietary climate modeling and risk mitigation software solutions.,Yes,HQ is located in Hyderabad India.
Aktinos Pharma Pvt.,aktinospharma.com,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,Operations are located in Hyderabad India.
SriBioAestheticsPvt.,sribio.com,Yes,Develops and manufactures proprietary agri-biotechnology and aesthetic products.,Yes,Operations are located in Hyderabad India.
Aurobindo Pharma Ltd.,aurobindo.com,Yes,Generic pharma but has clear evidence of independent in-house manufacturing and DSIR-recognized R&D.,Yes,HQ and primary operations are located in Hyderabad India.
Alkali Metals Ltd.,alkalimetals.com,Yes,Active chemical manufacturer with proprietary in-house R&D facilities recognized by DSIR.,Yes,Primary operations and address are located in Hyderabad India.
Gland Pharma Ltd.,glandpharma.com,Yes,Generic pharma with clear evidence of independent in-house manufacturing and DSIR-recognized R&D.,Yes,Primary operations are based in Hyderabad India.
Prathista Industries Ltd.,prathista.com,Yes,Produces proprietary biotechnology products with recognized in-house product development and R&D.,Yes,Primary operations are in Yadadri Bhongir Telangana India.
Nuziveedu Seeds Ltd.,nuziveeduseeds.com,Yes,Develops and produces agricultural seeds with proprietary in-house R&D.,Yes,Operational presence and address are in Medchal Telangana India.
Lee Pharma Ltd.,leepharma.com,Yes,Active pharmaceutical manufacturer with independent in-house product development and R&D.,Yes,HQ and operations are located in Hyderabad India.
Radiant Corporation Pvt. Ltd.,radiantcorpn.com,Yes,Active manufacturing company with proprietary in-house R&D capabilities.,Yes,Primary operational presence is in Hyderabad India.
Kaveri Seed Company Ltd.,kaveriseeds.in,Yes,Develops proprietary agricultural seeds with independent in-house R&D facilities.,Yes,HQ and primary operations are in Secunderabad India.
Pravardhan Seeds Pvt. Ltd.,pravardhanseeds.com,Yes,Producer of agricultural seeds backed by in-house product development and R&D.,Yes,Primary operations are located in Medchal Telangana India.
Flic Microwaves Pvt. Ltd.,flicmicrowaves.com,Yes,Manufactures proprietary microwave components with recognized in-house R&D.,Yes,Operations and address are located in Hyderabad India.
Suven Life Sciences Ltd.,suven.com,Yes,Engaged in proprietary biopharmaceutical R&D and drug discovery with DSIR recognition.,Yes,Primary operational presence is in Hyderabad India.
PrabhatAgriBiotech Ltd.,prabhatseeds.com,Yes,Active agricultural biotech producer with proprietary in-house R&D.,Yes,Operations are based in Medchal-Malkajgiri Telangana India.
Dr. Reddy's Laboratories Ltd.,drreddys.com,Yes,Global pharma group but maintains clear independent in-house manufacturing and R&D.,Yes,HQ and primary operations are in Hyderabad India.
VirchowLaboratories Ltd.,virchowlabs.com,Yes,Active pharmaceutical manufacturer with proprietary in-house R&D facilities.,Yes,Primary operations are based in Hyderabad India.
IndianImmunologicals Ltd.,indimmune.com,Yes,Develops and manufactures proprietary vaccines and biotech products with in-house R&D.,Yes,Operations and address are in Hyderabad India.
ValagroBiosciences Pvt. Ltd.,syngentabiologicals.com,Yes,Subsidiary but has clear evidence of independent in-house product development via DSIR R&D.,Yes,Primary operations are located in Hyderabad India.
BalajiAminesLtd.,balajiamines.com,Yes,Specialty chemical manufacturer with proprietary in-house R&D.,Yes,Primary operational presence is in Hyderabad India.
AstraMicrowave Products Ltd.,astramwp.com,Yes,Designs and manufactures proprietary defense and microwave components.,Yes,HQ and operations are located in Hyderabad India.
VEM Technologies Pvt. Ltd.,vemtechnologies.com,Yes,Manufactures proprietary aerospace and defense products with in-house R&D.,Yes,Primary operations are based in Hyderabad India.
Deccan Enterprises Pvt. Ltd.,deccanenterprises.com,Yes,Active manufacturer of industrial insulators with proprietary in-house R&D.,Yes,Operations are located in Sangareddy Hyderabad India.
Seedworks International Ltd.,seedworks.com,Yes,Develops and produces agricultural seeds with proprietary in-house R&D recognized by DSIR.,Yes,Primary operational presence is in Medchal Telangana India.
Vins Bioproducts Ltd.,vinsbio.in,Yes,Active biopharmaceutical producer with valid DSIR-recognized in-house R&D and manufacturing.,Yes,Headquarters and operations are located in Hyderabad India.
Srini Pharmaceuticals Pvt. Ltd.,srinipharma.com,Yes,Produces pharmaceutical products backed by clear evidence of independent in-house R&D.,Yes,Primary operational presence is in Hyderabad India.
Hytech Seed India Pvt. Ltd.,hytechseed.in,Yes,Agricultural seed producer with proprietary in-house R&D capabilities recognized by DSIR.,Yes,Operations are located in Medchal-Malkajgiri Telangana India.
Novartis Healthcare Pvt. Ltd.,novartis.com,Yes,Global pharma subsidiary but possesses clear evidence of independent in-house product development via DSIR R&D.,Yes,Primary operations are based in Hyderabad India.
Granules India Ltd.,granulesindia.com,Yes,Active pharmaceutical manufacturer with independent in-house R&D and product development facilities.,Yes,Headquarters and operations are in Hyderabad India.
Smilax Laboratories Ltd.,smilaxlabs.com,Yes,Manufactures pharmaceutical products with independent proprietary in-house R&D recognized by DSIR.,Yes,Primary operational presence is in Hyderabad India.
Symed Labs Ltd.,symedlabs.com,Yes,Active pharmaceutical producer with clear evidence of independent in-house R&D facilities.,Yes,Operations and headquarters are located in Hyderabad India.
Celon Laboratories Pvt. Ltd.,celonlabs.com,Yes,Produces pharmaceutical products supported by DSIR-recognized independent in-house product development.,Yes,Primary operations are based in Hyderabad India.
Tergene Biotech Ltd.,tergene.com,Yes,Active biotechnology producer delivering products via proprietary in-house R&D.,Yes,Operational presence is in Genome Valley Hyderabad India.
Siri Seeds (India) Pvt. Ltd.,siriseeds.com,Yes,Develops and produces proprietary agricultural seeds with in-house R&D.,Yes,Headquarters and primary operations are in Hyderabad India.
ADAMA India Pvt. Ltd.,adama.com,Yes,Manufactures agricultural chemicals with independent in-house product development and R&D.,Yes,Operational presence is in IKP Knowledge Park Hyderabad India.
Sigachi Industries Ltd.,sigachi.com,Yes,Produces pharmaceutical excipients with proprietary in-house R&D recognized by DSIR.,Yes,Headquarters and primary operations are in Hyderabad India.
Biogenex Life Sciences Pvt. Ltd.,biogenex.com,Yes,Develops and produces molecular diagnostics utilizing proprietary in-house R&D.,Yes,Primary operations are based in Adibatla Telangana India.
Brilliant Bio Pharma Pvt. Ltd.,brilliantbiopharma.com,Yes,Produces veterinary biopharmaceuticals with clear evidence of independent in-house R&D.,Yes,Operational presence is in Sangareddy Telangana India.
Finoso Pharma Pvt. Ltd.,finosopharma.com,Yes,Pharmaceutical CRO but possesses clear proprietary evidence of specialized in-house R&D via DSIR.,Yes,Primary operations are located in Hyderabad India.
Orbicular Pharmaceutical Technologies Pvt. Ltd.,orbicular.com,Yes,Delivers proprietary in-house specialized pharmaceutical R&D services recognized by DSIR.,Yes,Operational presence is in Kukatpally Hyderabad India.
Globion India Pvt. Ltd.,globionindia.com,Yes,Manufactures animal health vaccines with proprietary independent in-house R&D.,Yes,Operations are based in Secunderabad Telangana India.
J. C. Biotech Pvt. Ltd.,jcbiotech.in,Yes,Active biotechnology producer with DSIR-recognized independent in-house R&D capabilities.,Yes,Headquarters and operations are located in Hyderabad India.
Sai Life Sciences Ltd.,sailife.com,Yes,Pharmaceutical CDMO delivering specialized proprietary in-house manufacturing and R&D services.,Yes,Primary operations are in IKP Knowledge Park Hyderabad India.
GeneSys Biologics Pvt. Ltd.,genesysbiologics.com,Yes,Active biotechnology producer with proprietary in-house R&D recognized by DSIR.,Yes,Primary operational presence is in Shamirpet Telangana India.
Star Agrotech Pvt. Ltd.,staragrotech.in,Yes,Produces agricultural products supported by clear independent in-house R&D recognized by DSIR.,Yes,Headquarters and operations are located in Secunderabad India.
Emnar Pharma Pvt. Ltd.,emnar.com,Yes,Manufactures pharmaceutical APIs with proprietary in-house R&D capabilities.,Yes,Primary operations are based in Sanath Nagar Hyderabad India.
Mahindra Agri Solutions Ltd.,mahindraagri.com,Yes,Subsidiary but possesses clear evidence of independent in-house product development and DSIR R&D.,Yes,Operations are located in Kompally Hyderabad India.
Optimus Pharma Pvt. Ltd.,optimuspharma.com,Yes,Active pharmaceutical manufacturer with independent in-house product development and R&D.,Yes,Primary operational presence is in Kondapur Hyderabad India.
Vanamali Organics Pvt. Ltd.,vanamaliorganics.com,Yes,Produces pharmaceutical APIs utilizing proprietary in-house R&D recognized by DSIR.,Yes,Operations are based in Maheshwaram Telangana India.
Cygni Energy Pvt. Ltd.,cygni.com,Yes,Manufactures energy storage and battery products with proprietary in-house R&D.,Yes,Headquarters and operations are in Jubilee Hills Hyderabad India.
Tran-Scell Biologics Pvt. Ltd.,transcellbiologics.com,Yes,Active biotech producer delivering proprietary in-house R&D and specialized life sciences products.,Yes,Primary operations are located in Kondapur Hyderabad India.
Pioneer Hi-Bred Pvt. Ltd.,pioneer.com,Yes,Subsidiary of Corteva but has clear evidence of independent in-house agricultural R&D via DSIR.,Yes,Operational presence is in Madhapur Hyderabad India.
East Coast Magnets Pvt. Ltd.,eastcoastmagnet.com,Yes,Manufactures proprietary magnetic products backed by independent in-house R&D.,Yes,Primary operations are based in Jeedimetla Hyderabad India.
NeuheitPharma Technologies Pvt. Ltd.,neuheitpharma.com,Yes,Delivers proprietary specialized pharmaceutical R&D services recognized by DSIR.,Yes,Operations and headquarters are in Kukatpally Hyderabad India.
Sarvotham Care Ltd,sarvothamcare.com,Yes,Pharmaceutical CDMO offering proprietary in-house manufacturing and specialized R&D services.,Yes,Primary operational presence is in Jeedimetla Hyderabad India.
Almelo Pvt. Ltd.,almelochem.com,Yes,Produces pharmaceutical APIs with clear evidence of independent in-house R&D facilities.,Yes,Headquarters and operations are located in Kukatpally Hyderabad India.
BiophoreIndia Pharmaceuticals Pvt. Ltd.,biophore.com,Yes,Active pharmaceutical API producer with dedicated proprietary in-house R&D.,Yes,Operations are based in Jubilee Hills Hyderabad India.
Simson Life Sciences Pvt. Ltd.,simsonlabs.com,Yes,Delivers proprietary in-house specialized pharmaceutical R&D and product development services.,Yes,Primary operations are in Kukatpally Hyderabad India.
Trikona PharmaceuticalsPvt. Ltd.,trikonapharma.com,Yes,Manufactures dermatology and pharma products with independent in-house R&D.,Yes,Operational presence is in Kukatpally Hyderabad India.
Honour Lab Ltd,honourlab.com,Yes,Pharmaceutical CDMO delivering proprietary in-house manufacturing and specialized R&D services.,Yes,Primary operations are located in Erragadda Hyderabad India.
Aditya Agri Tech Pvt. Ltd.,kaveriseeds.in,Yes,Subsidiary but has clear evidence of independent in-house agricultural R&D recognized by DSIR.,Yes,Headquarters and operations are in Secunderabad India.
Fertis India Pvt. Ltd.,fertis.in,Yes,Produces fertilizer and crop nutrition products with proprietary in-house R&D.,Yes,Primary operational presence is in Punjagutta Hyderabad India.
ScieGen PharmaceuticalsIndia Pvt. Ltd.,sciegenpharm.com,Yes,Generic pharma but demonstrates clear independent in-house R&D and manufacturing via DSIR.,Yes,Operations are based in Pragathinagar Hyderabad India.
Daewoong Pharmaceutical(India) Pvt. Ltd.,daewoong.com,Yes,Subsidiary but possesses clear evidence of independent in-house product development and R&D recognized by DSIR.,Yes,Primary operational presence is in Kukatpally Telangana India.
SMS Lifesciences India Ltd.,smslife.in,Yes,Produces pharmaceutical APIs backed by independent in-house R&D facilities recognized by DSIR.,Yes,Headquarters and operations are located in Jubilee Hills Hyderabad India.
Cropwell Seeds Pvt. Ltd.,cropwellseeds.com,Yes,Develops and produces agricultural seeds utilizing proprietary in-house R&D recognized by DSIR.,Yes,Primary operations are based in KPHB Colony Hyderabad India.
Sahasra Crop Science Pvt. Ltd.,sahasracropscience.com,Yes,Produces agricultural crop science products with dedicated proprietary in-house R&D capabilities.,Yes,Operational presence is in Vanasthalipuram Hyderabad India.
AET Laboratories Pvt. Ltd.,aetlabs.com,Yes,Active pharmaceutical producer delivering proprietary in-house research and product development recognized by DSIR.,Yes,Operations are located in Sangareddy District Telangana India.
TeamEngineers Advance Technologies India Pvt. Ltd.,teamengineers.in,Yes,Manufactures proprietary telecom and networking equipment backed by in-house R&D.,Yes,Primary operations are based in IDA Uppal Hyderabad India.
Aurigene Pharmaceutical Services Ltd.,aurigeneservices.com,Yes,Subsidiary CDMO delivering specialized proprietary in-house manufacturing and R&D services recognized by DSIR.,Yes,Operational presence is in Serilingampally Telangana India.
FMC India Pvt. Ltd.,ag.fmc.com,Yes,Subsidiary but has clear evidence of independent in-house agricultural R&D recognized by DSIR.,Yes,Primary operations are located in Shamirpet Medchal Telangana India.
Promea Therapeutics Pvt. Ltd.,promea.in,Yes,Manufactures diagnostics and medical devices with proprietary independent in-house R&D.,Yes,Operations are based in Sultanpur Sangareddy Telangana India.
Botanic Healthcare Pvt. Ltd.,botanichealthcare.net,Yes,Produces herbal extracts and nutraceuticals supported by proprietary in-house R&D.,Yes,Primary operational presence is in Nacharam Uppal Telangana India.
Etico Lifesciences Pvt. Ltd.,eticolifesciences.com,Yes,Delivers proprietary specialized pharmaceutical R&D services recognized by DSIR.,Yes,Headquarters and operations are located in Kukatpally Hyderabad India.
Viruj Pharmaceuticals Pvt. Ltd.,virujpharma.com,Yes,Active pharmaceutical producer with clear evidence of independent in-house R&D capabilities.,Yes,Primary operations are based in Kukatpally Hyderabad India.
Vickro Biopharma Pvt. Ltd.,vickrobiopharma.com,Yes,Manufactures pharmaceutical products with proprietary in-house R&D recognized by DSIR.,Yes,Operational presence is in Kukatpally Hyderabad India.
Geenex Seeds India Pvt. Ltd.,geenexseeds.com,Yes,Develops and produces proprietary agricultural seeds backed by in-house R&D.,Yes,Operations are located in Saroornagar Rangareddy Telangana India.
Mapmygenome India Ltd.,mapmygenome.in,Yes,Produces genomics and biotechnology products with proprietary in-house R&D capabilities.,Yes,Primary operational presence is in Madhapur Hyderabad India.
CoregenesSeed Research (I) Pvt. Ltd.,coregenesseeds.com,Yes,Active agricultural seeds producer with independent in-house research and development recognized by DSIR.,Yes,Operations are based in Quthbullapur Medchal Telangana India.
ClinSyncClinical Research Pvt. Ltd.,clinsynccro.com,Yes,CRO delivering proprietary in-house specialized clinical R&D services recognized by DSIR.,Yes,Primary operations are located in Madinaguda Hyderabad India.
AdvantaEnterprises Ltd.,advantaseeds.com,Yes,Develops and produces global agricultural seeds backed by independent in-house R&D.,Yes,Headquarters and operational presence are in Banjara Hills Hyderabad India.
