company_name,official_website,C3_score,C3_evidence,C4_score,C4_evidence,C5_score,C5_evidence,C6_score,C6_evidence,C7_score,C7_evidence,C8_score,C8_evidence,total_score,band,verdict,short_personalization_hook,decision_maker,revenue_estimate,primary_sources,E1,E2,total_score_num,norm_score,evidence_count,revenue_num,rank
"""Eldorado Agritech Pvt."",""eldoradoagritech.com"",16,""Possesses DSIR-recognized R&D facilities and developed proprietary protein extraction methods for Cry1Ac and Cry2Ab genetic testing in Bt cotton."",15","""CMD Dr. Linga Srinivasa Rao holds a Ph.D. from IARI"," and MD Dr. Usha Rani brings deep biochemical research expertise to their agricultural operations.""",14,"""Operates in the critical agricultural and hybrid seeds sector"," strongly positioned to benefit from national food security and Make-in-India agricultural tailwinds.""",15,"""Generated an impressive Rs 443 crore revenue in FY25 with a 27% CAGR and recently filed its DRHP for a massive upcoming IPO.""",13,"""Functions as an IPO-bound public limited company with institutionalized statutory audits", rigorous corporate governance," and DSIR-recognized quality testing infrastructure.""",14,"""Demonstrates multi-generational continuity with Founders Dr. Linga and Dr. Usha joined by recently appointed director Linga Krishna Santosh on the board.""",87,"""A""","""Include""","""Congratulations on your phenomenal 27% CAGR reaching Rs 443 crore in FY25 revenue and the recent DRHP filing for your upcoming IPO.""","""Dr. Linga Srinivasa Rao (Chairman & Managing Director)""","""Rs 443 Crore""","""https://eldoradoagritech.com/board-details/1; https://nsearchives.nseindia.com/corporate/Registration_03092025200151_EldoradoAgritechLimitedDRHP.pdf; https://tracxn.com/d/legal-entities/india/eldorado-agritech-limited/__BDnpG1XM_QYdZEDnO3z5CT03aJkCsoXTywL3PKdgV6U""",,,87,0.6451612903225806,6,443.0,36
"""Vasant Chemicals Pvt. Ltd."",""vasantchemicals.com"",17,""Offers over 750,000 litres of production capacity from kilo-lab to commercial scale with strong CDMO capabilities in specialty chemicals."",12,""Led by newly appointed MD Ganesh Venkatraman, bringing extensive global leadership and strategic experience in the CDMO industry."",14","""Operates in the high-growth specialty chemicals and CDMO sector"," strongly benefiting from global supply chain diversification trends.""",15,"""Acquired by the WeylChem Group", driving strategic expansions, generating roughly Rs 192 crore in revenue," and actively reinforcing leadership.""",15,"""Maintains GMP-compliant documentation and ISO-certified integrated management systems"," actively utilizing advanced lean manufacturing practices like Kaizen and 5S.""",14,"""Demonstrates strong institutional governance"," having transitioned into a professional corporate subsidiary under the WeylChem Group with a dedicated management team.""",87,"""A""","""Include""","""Congratulations on the recent appointment of Ganesh Venkatraman as Managing Director and your strategic integration within the global WeylChem Group.""","""Ganesh Venkatraman (Managing Director)""","""Rs 192 Crore""","""https://www.vasantchemicals.com/; https://www.indianchemicalnews.com/people/vasant-chemicals-appoints-ganesh-venkatraman-as-md-29840; https://tracxn.com/d/companies/vasantchemicals/__W9A89WYsIBv9KsHPnRSr2-HoMv8JWg4mxRBvHZKWCZE""",,,87,0.6451612903225806,6,192.0,37
PrabhatAgriBiotech Ltd.,prabhatseeds.com,16,DSIR-recognized R&D developing proprietary high-yield hybrids like Bt Cotton and leveraging germplasm from international institutes like ICRISAT and USDA.,14,Led by technocrats including founder Dr. P Sateesh Kumar who holds a PhD in Genetics and Plant Breeding.,14,Operates in the critical agricultural biotech sector driving crop yields and maintains a strong presence in custom seed production for export markets.,15,Displays massive scale with ₹304 Cr FY25 revenue a massive network of 20000 retailers and a reported 27% 5-year CAGR.,13,High operational maturity as a fully integrated subsidiary of the NSL Group managing complex multi-state R&D production and processing capabilities.,14,Strong institutional governance structured under the NSL Group conglomerate with a board comprising professional independent and nominee directors.,86,A,Include,I was highly impressed by your DSIR-recognized R&D facility and the massive scale Prabhat Seeds has achieved reaching ₹304 Cr in FY25 revenue.,Dr. P Sateesh Kumar,304 Cr,https://prabhatseeds.com/about/;https://tracxn.com/d/legal-entities/india/prabhat-agri-biotech-limited/__AR3Vxzsb2ZQabBcdVchKrw7DB_GuoSdNxhzgYT2Nmy0,,,86,0.6129032258064516,6,304.0,38
Spansules Pharmatech Pvt. Ltd.,spansules.com,17,Specializes in Ready-to-Fill (RTF) pellets and MUPS with DSIR-recognized R&D and operations certified by WHO-GMP and EU-GMP.,14,Founder and MD Dr. G.V. Subba Rao holds a doctorate in pharmaceutical sciences with over 30 years of deep R&D expertise.,14,Strong pharmaceutical export tailwinds supplying generic formulations and specialized API products to over 30 countries globally.,14,Demonstrated strong growth with group turnover exceeding ₹250 crore and recent backward integration expanding into API and intermediate manufacturing.,16,High systems maturity with manufacturing facilities complying strictly with WHO-GMP and EU-GMP regulatory standards for global pharmaceutical exports.,11,Leadership includes founders and family members actively involved in operations with limited visibility into structured professional management succession.,86,A,Include,I was highly impressed by Spansules Pharmatech's specialized expertise in Ready-to-Fill (RTF) pellets and your rigorous WHO-GMP and EU-GMP certifications.,Dr. G.V. Subba Rao (Venkata Subba Rao Guttikonda),73.8 Cr (Standalone) / ~250 Cr (Group),https://www.spansulespharma.com/;https://www.indiapharmaoutlook.com/pharma-equipment/vendor/spansules-pharmatech-onestopshop-for-the-endtoend-requirements-of-pharmaceutical-pellets-cid-11.html;https://www.careratings.com/upload/CompanyFiles/PR/202502140209_Spansules_Pharmatech_Private_Limited.pdf,,,86,0.6129032258064516,6,73.8,39
RenewableEnergy Systems Ltd.,resindia.com,18,Acquired thermal battery technology from DRDO and USSR pioneering indigenous production and supplying over 2.5 lakh specialized batteries for missile applications.,12,Led by an experienced board including G. Narasinga Rao and Suresh Kumar Devarakonda driving specialized defense manufacturing and corporate strategy.,14,Strongly positioned in defense indigenization and Make-in-India serving as a critical supplier of thermal batteries for DRDO missile programs.,14,Robust growth indicated by a 219% YoY total revenue surge in FY24 with operating revenue scaling to the ₹25-50 Cr range.,15,Maintains stringent defense-grade quality control as a critical missile component supplier alongside structured governance as a public limited company.,13,Structured corporate governance driven by an experienced board of directors including professional independent members managing specialized defense operations.,86,A,Include,I was highly impressed by your pioneering work in thermal batteries for missile applications and the milestone of supplying over 2.5 lakh units to defense establishments.,Suresh Kumar Devarakonda / G. Narasinga Rao,25-50 Cr,https://resindia.co.in/history;https://www.zaubacorp.com/RENEWABLE-ENERGY-SYSTEMS-LIMITED-U40106TG1985PLC005358;https://www.tofler.in/renewable-energy-systems-limited/company/U40106TG1985PLC005358,,,86,0.6129032258064516,6,25.0,40
"""Provis Biolabs Pvt. Ltd."",""provisbiolabs.com"",18,""Produces premium animal origin-free bioreagents, Bio-APIs, and synthetic peptides backed by WHO-GMP, ISO 13485 certifications and DSIR-recognized R&D."",15,""Founded and led by Dr. Bala Reddy, a PhD scientist with deep expertise in biotechnology, successfully scaling the venture to global markets."",15,""Operates in the critical biomanufacturing and CDMO sectors, developing scalable therapeutic peptides and recombinant enzymes aligned with global pharmaceutical demands."",15","""Demonstrates exceptional momentum by launching US operations", commissioning a new Jadcherla manufacturing plant," and doubling its headcount recently.""",15,"""Maintains robust quality frameworks with WHO-GMP", GLP, ISO 13485, and ISO 9001:2015 certifications," though enterprise ERP details are limited.""",8,"""Operates as a privately held", founder-led enterprise with a two-director board," lacking explicit evidence of an independent professional C-suite.""",86,"""A""","""Include""","""Congratulations on recently commissioning your new manufacturing plant in Jadcherla and successfully expanding Provis Biolabs' commercial operations into the US market.""","""Dr. Bala Reddy (Founder & Managing Director)""","""Rs 10-25 Crore ($1.96M)""","""https://provisbiolabs.com/; https://tracxn.com/d/companies/provisbiolabs/__iiV7fNbOJKcl2ycMbuh47ouJRkcPPRoUrH0AKkuAx6o; https://www.tofler.in/provis-biolabs-private-limited/company/U24290TG2019PTC135389""",,,86,0.6129032258064516,6,10.0,41
Lamco Industries Pvt. Ltd.,lamcoindia.com,18,DSIR-recognized R&D lab since 1989; developed indigenous 850kV surge arresters and achieved KEMA certification for 624kV models in 2025.,13,Led by first-generation visionary MD S. Prasada Rao with an experienced team driving technical innovation in power transmission equipment.,14,Strong power sector tailwinds supplying critical high-voltage equipment to PGCIL and NTPC while exporting across 20+ countries.,14,Strong growth signaled by a new 1.5 lakh sqft manufacturing facility in Medak and ongoing NABL lab accreditations.,14,ISO 9001 certified with global KEMA approvals and PGCIL vendor validations; actively strengthening internal corporate controls.,13,Demonstrated succession with next-gen Saripalli Kartik as Whole-Time Director alongside founder S. Prasada Rao and professional managers.,86,A,Include,I was impressed by Lamco's new 1.5 lakh sqft manufacturing facility in Medak and your recent successful KEMA testing for 624kV surge arresters.,S. Prasada Rao / Saripalli Kartik,unknown,https://lamcoindia.com/about-us/;https://lamcoindia.com/milestones/;https://www.falconebiz.com/company/LAMCO-INDUSTRIES-PRIVATE-LIMITED-U31909TG1987PTC007492,,,86,0.6129032258064516,6,0.0,42
"""Jodas Expoim Pvt. Ltd."",""jodasexpoim.in"",18,""Possesses a state-of-the-art 72,000 sq.m EU-GMP and PIC/s approved facility at Genome Valley, specializing in biosimilars, oncology, and contrast media injectables."",10,""Led by Co-Founders and MDs Satyendra and Shashi Singh, supported by a specialized technical leadership team including a President of Bio-Technology."",15,""Operates in the high-growth specialty injectables and biosimilars sector", aggressively expanding pharmaceutical exports across Russia, the EU," and the Middle East.""",14,"""Reported revenues exceeding Rs 500 crore with a 12.36% increase in net sales for FY25"," alongside active clinical advancements in its biosimilars pipeline.""",15,"""Features highly mature manufacturing operations with fully integrated Quality Management Systems", EU-GMP compliance," and advanced cGMP facilities for recombinant biotherapeutics.""",13,"""Demonstrates highly institutionalized corporate governance with a professional C-suite"," including dedicated functional leaders such as a CFO and VP of Operations.""",85,"""A""","""Include""","""Congratulations on your impressive revenue growth surpassing Rs 500 crore and the successful expansion of your biosimilars pipeline with Pertuzumab.""","""Satyendra Kumar Singh (Managing Director)""","""Over Rs 500 Crore""","""https://jodasexpoim.in/about-us/; https://jodasexpoim.in/biosimilars/; https://www.tofler.in/jodas-expoim-private-limited/company/U21001TG2006PTC110218""",,,85,0.5806451612903226,6,500.0,43
Nucon Aerospace Pvt. Ltd.,nuconaerospace.com,18,DSIR-recognized R&D with AS9100 and CEMILAC certifications specializing in complex control actuation avionics and pneumatic systems for aerospace.,13,Led by MD Hemant Jalan and Whole-Time Director Udit Jalan bringing extensive experience in specialized aerospace and precision electromechanical manufacturing.,14,Strongly positioned in the high-growth aerospace and defense sectors and directly benefiting from Make-in-India defense indigenization initiatives.,12,Maintains steady defense manufacturing operations with a recent reported annual revenue of approximately ₹101 crore as of March 2025.,16,High systems maturity for the defense sector evidenced by rigorous AS9100 CEMILAC and ISO quality certifications essential for aerospace.,12,Family-led governance with Hemant Udit and Achal Jalan serving as active directors showing multi-member involvement but limited outside professional management.,85,A,Include,I was impressed by Nucon Aerospace's critical CEMILAC and AS9100 certifications and your specialized expertise in control actuation systems.,Hemant Jalan / Udit Jalan,101 Cr,https://www.nuconaerospace.com/board_members.html;https://tracxn.com/d/companies/nuconaerospace/__MFl4OD-76oVM7c30xxYOycyYBp3OtEYE_iPXEs2Yg_0;https://aviationspaceindia.com/content/nucon-aerospace,,,85,0.5806451612903226,6,101.0,44
Mapmygenome India Ltd.,mapmygenome.in,17,Pioneered predictive genetic testing in India with NABL and CAP accredited labs offering proprietary products like Genomepatri and advanced metagenomic sequencing.,14,Led by CEO Anu Acharya an IIT Kharagpur alumna and seasoned genomics entrepreneur supported by a specialized scientific advisory board.,13,Operates in the rapidly expanding personalized genomics and preventive healthcare sector addressing critical data gaps for the Indian subcontinent.,12,Demonstrates steady financial traction with an FY25 revenue of ₹31.2 Cr and strategic global expansion through the acquisition of Microbiome Insights.,15,High operational maturity validated by ISO 15189 NABL and CAP laboratory accreditations alongside established LIMS and digital bioinformatics infrastructure.,14,Governance features a structured board with prominent independent directors like Arjun Malhotra and a professional executive suite managing distinct clinical portfolios.,85,A,Include,I was highly impressed by Mapmygenome's pioneering NABL and CAP-accredited genomics platforms and your strategic expansion through the acquisition of Microbiome Insights.,Anu Acharya,31.2 Cr,https://mapmygenome.in/pages/about-us;https://tracxn.com/d/legal-entities/india/mapmygenome-india-limited/__2m2-lF3jzObAHgDIIygZ3UQlMO8GmxT53sBUSJJmyDM,,,85,0.5806451612903226,6,31.2,45
"""SOMPhytopharma (India) Ltd."",""somphytopharma.com"",20,""Holds 34 unique microbial strains with international patent depository certificates under the Budapest Treaty, backed by a DSIR-recognized R&D laboratory.""",15,"""Led by MD Dr. Venkatesh Devanur"," a PhD and 40-year industry veteran who serves as Secretary of BIPA and VP of World Neem Organisation.""",15,"""Directly benefits from domestic organic farming subsidies and strong global export demand for bio-pesticides and sustainable agricultural inputs.""",12,"""Reported FY24 revenue of roughly Rs 17.5 crore with an 11% CAGR"," while actively expanding its organic product portfolio globally.""",10,"""Features a government-accredited laboratory and organic input certifications"," though explicit public evidence of advanced ERP or digital manufacturing platforms is limited.""",12,"""Demonstrates clear multi-generational family leadership with board members like Gargeyee Venkatesh Iyengar Devanur and Venkatesh Athreya Devanur alongside the founders.""",84,"""A""","""Include""","""I was highly impressed by your portfolio of 34 unique microbial strains recognized under the Budapest Treaty and your visionary leadership in sustainable agriculture.""","""Dr. Venkatesh Devanur (Managing Director)""","""Rs 17.5 Crore""","""https://www.somphytopharma.com/about; https://tracxn.com/d/legal-entities/india/som-phytopharma-india-limited/__nIwcNMprQcdPlL9FjLHrZjubFexD66CqHFRK0A0jZYI; https://bipaindia.org/founding-team.php""",,,84,0.5483870967741935,6,17.5,46
"""Godi India Pvt. Ltd."",""godienergy.com"",19,""First Indian company to achieve BIS certification for indigenous lithium-ion cells; pioneers advanced sodium-ion and supercapacitor technologies with DSIR-recognized R&D."",14,""Founded by Mahesh Godi, an experienced technocrat with extensive global R&D and manufacturing expertise in battery materials from top-tier tech firms."",15","""Perfectly positioned in the hyper-growth EV and energy storage sector"," directly driving India's Make-in-India and advanced chemistry cell localization goals.""",14,"""Secured significant VC funding to scale operations toward gigafactory capacity", actively hiring specialized cell engineering talent," and expanding product lines.""",13,"""Maintains BIS-certified manufacturing and highly advanced DSIR-recognized R&D testing infrastructure"," though public details on enterprise-wide SAP/ERP systems are limited.""",9,"""Functions as a dynamic", founder-led deep-tech startup," aggressively building its professional C-suite but lacking formalized multi-generational succession planning.""",84,"""A""","""Include""","""Congratulations on Godi India becoming the first Indian company to achieve BIS certification for your indigenously developed lithium-ion cells.""","""Mahesh Godi (Founder & CEO)""","""unknown""","""https://godienergy.com/""",,,84,0.5483870967741935,6,0.0,47
Sri Krishna Pharmaceuticals Ltd.,srikrishnapharma.com,17,Operates 5 manufacturing facilities with global regulatory approvals including US FDA EDQM and ANVISA for specialized API manufacturing.,13,Led by MD V.V. Krishna Reddy and Founder Pranesh Raj Mathur driving extensive CDMO operations and API development.,14,Strong export presence across US European and Asian markets and an active beneficiary of the government's PLI scheme.,12,Maintained a robust FY25 revenue of over ₹588 crore alongside ongoing capacity expansions and recent EU GMP certifications.,15,Operates with high systems maturity managing compliance across 5 international regulatory bodies and structured corporate financial auditing processes.,12,Board includes a mix of experienced whole-time directors like Venkata Subba Reddy and independent members ensuring structured governance.,83,A,Include,I was impressed by your extensive global reach with 5 manufacturing facilities holding US FDA and EDQM certifications.,V.V. Krishna Reddy,588 Cr,https://www.srikrishnapharma.com/;https://tracxn.com/d/companies/srikrishnapharmaceuticals/__jAL5-Kv4amGFn3CEJ0PFyJ_W5FsEGzaUkQSGCzi7ncs;https://www.icra.in/Rating/GetRationalReportFilePdf?id=138157,,,83,0.5161290322580645,6,588.0,48
