company_name,company_address,recognition_number,valid_upto,official_website,is_valid_company,E1,E1_reason,E2,E2_reason,verification_note,source_or_evidence
Ravi Hybrid Seeds Pvt.,"Ltd. H. No. 3-5-839/6, 2ndFloor, Flat No. 202, L.R. Plaza,Hyderguda, Hyderabad – 500 029,(Telangana)",TU/IV-RD/4333,31.03.2027,raviseeds.com,Yes,Yes,Develops and produces proprietary agricultural hybrid seeds in-house.,Yes,Operations are located in Hyderabad India.,Active agricultural seeds company,Corporate Registry
Innovare Labs Pvt.,"Ltd. Plot No. 64, Road No. 5 ALEAP Industrial Estate Gajularamaram, Pragathi Nagar Hyderabad – 500090, Telangana",TU/IV-RD/4341,31.03.2026,innovarelabs.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical API company,Corporate Registry
Jisnu Communications Pvt.,"Ltd. 8-2-120/86/9/B, 2nd Floor Luxor Park, Road No. 2 Banjara Hills Hyderabad – 500 034(Telangana)",TU/IV-RD/4382,31.03.2027,jisnu.com,Yes,Yes,Designs and manufactures proprietary aerospace and defense communication systems.,Yes,Operations are located in Hyderabad India.,Active aerospace and defense communication company,Corporate Registry
LokeshMachines Ltd.,"B-29,E.E.I.E.Stage-IIBalanagar Hyderabad –",TU/IV-RD/4387,31.03.2027,lokeshmachines.com,Yes,Yes,Manufactures proprietary CNC machines and precision auto components in-house.,Yes,HQ is located in Hyderabad India.,Active manufacturing company,Corporate Registry / BSE Listing
Jodas Expoim Pvt.,"Ltd. 3rd Floor, NSL Centrum, Plot No. S-1, Sy No. 1043 & 1048, KPHB Phase-3,Kukatpally, Hyderabad – 500 072, (Telangana)",TU/IV-RD/4421,31.03.2027,jodasexpoim.in,Yes,Yes,Independent pharmaceutical company with significant in-house manufacturing and formulation capabilities.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
Ecoled ILLuminations Pvt.,"Ltd. Plot NO. 188/A, Phase-II,IDA, Cherlapally, Hyderabad –500 051, Telangana",TU/IV-RD/4429,31.03.2027,ecoled.in,Yes,Yes,Manufactures proprietary LED lighting and electronic products in-house.,Yes,Operations are located in Hyderabad India.,Active LED lighting and electronics company,Corporate Registry
Tierra Agrotech Ltd.,"(FormerlyTierra AgrotechPvt.Ltd.) 1stFloor,Sravana Complex,Kamalapuri Colony Lane, Next to LV PrasadHospital,Road No.2, BanjaraHills Hyderabad–500034Telangana",TU/IV-RD/4458,31.03.2027,tierraagrotech.com,Yes,Yes,Develops and produces proprietary agricultural seeds and biotechnology products.,Yes,HQ is located in Hyderabad India.,Active agricultural biotechnology company,Corporate Registry / BSE Listing
Tripura Bio-Tech Ltd.,"1-5-1015,Vaishnavi Bhawan, Father Balaiah Nagar, Manjeera Colony,Old Alwal, Secunderabad, Telangana – 500 010",TU/IV-RD/4479,31.03.2025,tripurabiotech.com,Yes,Yes,Develops and manufactures proprietary bio-fertilizers and agricultural biotechnology products.,Yes,Operations are located in Secunderabad India.,Active agricultural biotechnology company,Corporate Registry
Avantari Technologies Pvt.,"Ltd. Plot No. 185, Road No. 76, Jubilee Hills, Hyderabad – 500033, Telangana",TU/IV-RD/4520,31.03.2025,avantari.com,Yes,Yes,Develops proprietary augmented reality and technology products in-house.,Yes,Operations are located in Hyderabad India.,Active technology and augmented reality company,Corporate Registry
RenewableEnergy Systems Ltd.,"Plot No. D-13, I.D.A Phase-V,Jeedimetla, Hyderabad – 500 055, (Telangana)",TU/IV-RD/4525,31.03.2027,resindia.com,Yes,Yes,Manufactures proprietary renewable energy and defense components in-house.,Yes,Operations are located in Hyderabad India.,Active renewable energy and defense components company,Corporate Registry
GOCL Corporation Ltd.,"IDL Road, Kukatpally, Hyderabad – 500 072,Telangana",TU/IV-RD/4527,31.03.2025,goclcorp.com,Yes,Yes,Manufactures proprietary commercial explosives and energetic materials in-house.,Yes,HQ is located in Hyderabad India.,Active energetics and commercial explosives company,Corporate Registry / BSE Listing
Oncosimis Biotech Pvt.,"Ltd. LIG, Block 38, Flat 7, Beghlinghampalli,Hyderabad – 500044, (Telangana)",TU/IV-RD/4536,31.03.2028,oncosimis.com,Yes,Yes,Develops proprietary biosimilars and biotechnology products in-house.,Yes,Operations are located in Hyderabad India.,Active biotechnology company,Corporate Registry
Biofac Inputs Pvt.,"Ltd.S. No. 81-84, Plot No.74C, Anrich Industrial Estate, Bollaram Village, JinnaramMandal,Sangareddy District – 502 325, (Telangana)",TU/IV-RD/4563,31.03.2028,biofac.in,Yes,Yes,Manufactures proprietary agricultural inputs and bio-fertilizers in-house.,Yes,Operations are located in Sangareddy India.,Active agricultural inputs company,Corporate Registry
Srikar Biotech Pvt.,"Ltd.Plot No.:A11 &A12/1, IDANacharam,Uppal, Medchal-Malkajgiri(Dt), Telangana - 500 076",TU/IV-RD/4600,31.03.2026,srikarbiotech.com,Yes,Yes,Develops and produces proprietary agricultural biotechnology products and seeds.,Yes,Operations are located in Telangana India.,Active agricultural biotechnology company,Corporate Registry
SynergeneActive Ingredients Pvt.,"Ltd. Flat No. 402, Bhanu Enclave, Sunder Nagar, Erragadda, Hyderabad -500 038, Telangana",TU/IV-RD/4628,31.03.2026,synergeneapi.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients in-house.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical API company,Corporate Registry
Bycus Therapeutics Pvt.,"Ltd. Suite No. 13, Bio-Nest, School of Life Sciences, University of Hyderabad, Gachibowli, Hyderabad – 500046, (Telangana)",TU/IV-RD/4881,31.03.2028,bycustherapeutics.com,Yes,Yes,Develops proprietary biotherapeutics and biotechnology products in-house.,Yes,Operations are located in Hyderabad India.,Active biotherapeutics company,Corporate Registry
Dhruva Space Pvt.,"Ltd.702, 6-3-1192/1/1, Block-1, Begumpet, White House, Hyderabad - 500 016Telangana",TU/IV-RD/4893,31.03.2025,dhruvaspace.com,Yes,Yes,Designs and manufactures proprietary space technology and satellites in-house.,Yes,HQ is located in Hyderabad India.,Active space technology and satellite company,Corporate Registry
SRC Laboratories Pvt.,"Ltd.Plot No. M66, M67, Medical Devices Park, IP Sultanpur, SultanpurVillage,AmeenpurMandal, Sangareddy District - 502319 (Telangana)",TU/IV-RD/4897,31.03.2028,srclabs.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,Operations are located in Sangareddy India.,Active pharmaceutical company,Corporate Registry
ShilpaPharma LifesciencesLtd.,"Shilpa House, # 12-6-214/A-1 Hyderabad Road, Raichur - 584 135(Karnataka)",TU/IV-RD/4912,31.03.2028,shilpapharma.com,Yes,Yes,Independent API manufacturer with clear in-house production capabilities.,Yes,HQ is located in Raichur Karnataka India.,Active API intermediates manufacturer and CDMO. DSIR recognized.,Company Website / DSIR
PeopleLink Unified Communications Pvt. Ltd.,"10th Floor, A3-Q3,Cyber Towers, Hi Tech City, Madhapur Hyderabad - 500 081(Telangana)",TU/IV-RD/4937,31.03.2028,peoplelinkvc.com,Yes,Yes,Develops proprietary unified communications and video conferencing software/hardware.,Yes,HQ is located in Hyderabad India.,Active unified communications and video conferencing solutions provider.,Company Website / DSIR
Godi India Pvt. Ltd.,"P No. 12(P), 13, 14(P),Hardware Park, Kancha Imarat Sy. No. 1/1, Road No. 2, Maheshwaram, Rangareddy, Hyderabad -500 005, (Telangana)",TU/IV-RD/4950,31.03.2028,godienergy.com,Yes,Yes,Develops and manufactures proprietary battery technologies and supercapacitors.,Yes,Operations are located in Hyderabad India.,Fast-growing battery-tech startup focusing on lithium/sodium-ion and supercapacitors.,YNOS / DSIR
Simply Fresh Private Limited.,"1-10-39-44, Gumidelli Tower, 8A-2, 8th Floor, BegumpetRoad, Begumpet, Hyderabad-500 016 Telangana",TU/IV-RD/4955,31.03.2026,simplyfresh.co.in,Yes,Yes,Produces proprietary agricultural products using advanced in-house greenhouse farming.,Yes,Operations are located in Hyderabad India.,Active agritech company specializing in greenhouse farming.,Company Website / DSIR
Telluris Biotech India Pvt. Ltd.,"Plot No. 4C, MN Science and Technology Biotech Park, Synergy Square-I Phase I, Genome Valley, Turkapally, Shamirpet -500 101, (Telangana)",TU/IV-RD/4982,31.03.2026,tellurisbiotech.com,Yes,Yes,Develops proprietary biotechnology and life sciences products in-house.,Yes,Operations are located in Hyderabad India.,Active biotech company in Genome Valley.,Company Website / DSIR
Lee Pharma Ltd.,"Sy. No. 257 & 258/1, Door No. 11-6/56, C-Block, Opp. IDPL factory, MoosapetVillage,BalanagarPost, Hyderabad - 500 037,(Telangana)",TU/IV-RD/4984,31.03.2026,leepharma.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,HQ is located in Hyderabad India.,Major active pharmaceutical and API manufacturer.,Company Website / DSIR
Provis Biolabs Pvt. Ltd.,"No. 5-9-6-262/54P & 55P,First Floor, Prashanthi Nagar, Kukatpally Street, Hyderabad – 500 072(Telangana)",TU/IV-RD/5001,31.03.2027,provisbiolabs.com,Yes,Yes,Manufactures proprietary bioreagents and bio-APIs in-house.,Yes,Operations are located in Hyderabad India.,Active biotech company specializing in bioreagents and bio-APIs.,Company Website / DSIR
Tianish Laboratories Pvt. Ltd.,"Ground Floor, 564/A/22, Road No. 22, Jubilee Hills, Hyderabad – 500 096 (Telangana)",TU/IV-RD/5008,31.03.2026,tianish.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical research and API manufacturer.,Company Website / DSIR
Niruthi Climate & Ecosystem Pvt. Ltd.,"Unit No. 803, Level 8, Floor #7, Vasavi MPM Grand, Yella Reddy Guda, Hyderabad -500073 (Telangana)",TU/IV-RD/5012,31.03.2027,niruthi.com,Yes,Yes,Develops proprietary climate modeling and risk mitigation software solutions.,Yes,HQ is located in Hyderabad India.,Active climate tech/agritech startup offering risk mitigation and modeling solutions.,Company Website / DSIR
Aktinos Pharma Pvt.,"Ltd. 4th & 5th Floor, Sri Lakshmi Spaces, Plot No. 7, Kavuri Hills Phase 1Madhapur, Hyderabad - 500 033 (Telangana)",TU/IV-RD/5021,31.03.2027,aktinospharma.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
SriBioAestheticsPvt.,"Ltd.H.No.5-35-319,Floor-1,SaiBaba Colony, Kukatpally,Hyderabad–500072 (Telangana)",TU/IV-RD/5066,31.03.2027,sribio.com,Yes,Yes,Develops and manufactures proprietary agri-biotechnology and aesthetic products.,Yes,Operations are located in Hyderabad India.,Active biotechnology and agri-aesthetics company,Corporate Registry
Aurobindo Pharma Ltd.,"Floor No. 22, Galaxy Building, Plot No. 1, Survey No. 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, Ranga Reddy District, Hyderabad-500 032(Telangana)",TU/IV-RD/2110,31.03.2028,aurobindo.com,Yes,Yes,Generic pharma but has clear evidence of independent in-house manufacturing and DSIR-recognized R&D.,Yes,HQ and primary operations are located in Hyderabad India.,Active pharmaceutical company,Corporate Registry / BSE Listing
Alkali Metals Ltd.,", F-5, Prembagh Apartments, 3-4-490/A, Barkatpura, Hyderabad -500 027,(Telangana)",TU/IV-RD/2127,31.03.2028,alkalimetals.com,Yes,Yes,Active chemical manufacturer with proprietary in-house R&D facilities recognized by DSIR.,Yes,Primary operations and address are located in Hyderabad India.,Active chemical manufacturing company,Corporate Registry / BSE Listing
Gland Pharma Ltd.,"Survey No. 143, 148, 150 & 151, D.P. Palli, DundigalPost, Quthbullapur Mandal, R.RDist., Hyderabad – 500 043, (Telangana)",TU/IV-RD/2128,31.03.2028,glandpharma.com,Yes,Yes,Generic pharma with clear evidence of independent in-house manufacturing and DSIR-recognized R&D.,Yes,Primary operations are based in Hyderabad India.,Active pharmaceutical company,Corporate Registry / BSE Listing
Prathista Industries Ltd.,"Sy.No.273,274,S.Lingotam(Village)Choutuppal(Mandal),YadadriBhongir-508252 (Telangana)",TU/IV-RD/2146,31.03.2027,prathista.com,Yes,Yes,Produces proprietary biotechnology products with recognized in-house product development and R&D.,Yes,Primary operations are in Yadadri Bhongir Telangana India.,Active biotechnology company,Corporate Registry
